,gdppercap,gdp,EPI.new,GHN.new,GHP.new,clusters,,,
124,17357.62863,76522511781,50.5,43.5,53.3,0,,,
129,18321.28089,6.88177E+11,50.6,9.9,22.5,0,,,
113,4911.327635,12607436976,50.9,100,52.6,0,,,
145,82807.64908,4.66789E+11,50.9,38.2,25.7,0,,,
172,74164.65302,2.54627E+13,51.1,0,5.7,1,,,
46,8414.536593,612048148.1,51.2,99.2,60.3,0,,,
24,13772.47679,89040398406,51.9,36.9,32.8,0,,,
4,18745.17351,1757603704,52.4,83.5,40,0,,,
170,53757.86325,5.07535E+11,52.4,13.3,0,0,,,
139,2404.258693,546680341.6,52.9,96.3,100,0,,,
13,20018.51515,5637914515,53.2,95.5,47,0,,,
137,9125.317497,948558503.1,53.2,90,63.5,0,,,
21,7737.654681,20352322157,54,100,48.2,0,,,
120,6591.471292,13563132057,54.3,65,47.2,0,,,
72,18463.20852,1.78789E+11,55.1,31.8,37.2,0,,,
143,15874.54007,1588406479,55.6,83.8,48,0,,,
94,24826.79104,70334299008,55.9,39.9,26,0,,,
133,15892.11853,3.01262E+11,56,31.2,44.5,0,,,
10,31458.30081,12897400000,56.2,75.8,40.4,0,,,
64,20732.05222,2.19066E+11,56.2,33.9,32.5,0,,,
151,29350.16852,1.39751E+12,56.6,16.6,38.1,2,,,
116,48249.26402,2.47234E+11,56.7,27.6,7.3,0,,,
82,33815.31727,4.23114E+12,57.2,0,24.7,2,,,
78,104038.9461,5.29245E+11,57.4,32.9,17.5,0,,,
80,34157.99012,2.01043E+12,57.7,22.6,38.1,2,,,
41,31283.50586,28439052741,58,57.5,36.8,0,,,
15,49582.82536,5.78604E+11,58.2,27.2,21.5,0,,,
121,106148.7786,5.79267E+11,59.3,30.1,12.5,0,,,
42,27638.37328,2.90924E+11,59.9,29.8,21.7,0,,,
146,21258.11414,1.15469E+11,60,40.6,33.5,0,,,
7,64491.42989,1.67542E+12,60.1,13.6,0.3,2,,,
39,18413.23468,70964606465,60.2,49.9,40.9,0,,,
90,21851.1052,41153912663,61.1,52.5,36.8,0,,,
53,28332.62909,38100812959,61.4,47.9,10.4,0,,,
62,48432.45587,4.07219E+12,62.4,9.1,27.5,2,,,
58,40963.83734,2.78291E+12,62.5,16.3,38.7,2,,,
115,55985.40343,9.91115E+11,62.6,26.3,20.8,0,,,
73,72902.97995,27841648044,62.8,62.4,16.4,0,,,
156,92101.46974,8.07706E+11,65.9,44.5,46.8,0,,,
8,52131.44666,4.714E+11,66.5,31.4,22.2,0,,,
147,29457.40284,62117768015,67.3,57.9,31.1,0,,,
95,126426.0899,82274812251,72.3,63.8,9.1,0,,,
155,55873.22081,5.85939E+11,72.7,63.8,40.4,0,,,
101,33940.9496,17765270015,75.2,82.8,42.7,0,,,
57,50536.62447,2.80826E+11,76.5,88.4,18.5,0,,,
171,45850.42612,3.07067E+12,77.7,100,38.5,2,,,
44,66983.132,3.95404E+11,77.9,100,34.4,0,,,
,2887574.723,9.92011E+13,,,,,,,
,,,,,,,,,
